,hash_id,Vlak,Vecerka,Obchod,Bus,Skola,Skolka,Lekar,Hospoda,Restaurace,Metro,Tram,date_update,building_type,building_condition,building_location,area_net,price_note,energy_efficient_rating,building_floor_type,building_floor,garage,swimming_pool,area_landplot,cellar,house_location,price,lat,lon,locality,region,lat_cen,lon_cen,city_dist
593,270763340,1412.0,1019.0,2090.0,303.0,810.0,69.0,2733.0,1118.0,751.0,5292.0,3610.0,08.01.2024,Smíšená,Před rekonstrukcí,Klidná část obce,130.0,Včetně provize RK a právního servisu,G,Patrový,2,1,,905.0,1,Samostatný,14990000,50.144016,14.388214,"Keltů, Praha 6 - Suchdol",10,50.0875,14.4213889,6.7147372048200396
594,2863457612,602.0,109.0,2451.0,91.0,242.0,188.0,564.0,68.0,362.0,2998.0,0.0,06.12.2023,Cihlová,Dobrý,Klidná část obce,90.0,"včetně DPH, včetně poplatků, včetně provize, včetně právního servisu",G,Patrový,2,1,,381.0,19,Řadový,9000000,50.112976,14.618863,"Běluňská, Praha 9 - Horní Počernice",10,50.0875,14.4213889,14.366998335172697
595,417085004,1482.0,267.0,0.0,171.0,922.0,189.0,1791.0,158.0,269.0,0.0,0.0,28.11.2023,Cihlová,Velmi dobrý,Klidná část obce,160.0,,G,Patrový,2,1,,636.0,,Samostatný,13900000,50.073845,14.664866,"Chmelická, Praha 9 - Újezd nad Lesy",10,50.0875,14.4213889,17.439455583458788
596,3318605132,1774.0,304.0,292.0,131.0,348.0,481.0,3258.0,1213.0,476.0,2835.0,1639.0,06.01.2024,Cihlová,Novostavba,,147.0,,,Patrový,2,1,,303.0,,Rohový,17990000,50.067783,14.552982,"Otrubova, Praha 10 - Dolní Měcholupy",10,50.0875,14.4213889,9.64292474056841
598,3988743244,934.0,329.0,2091.0,70.0,1394.0,915.0,0.0,1178.0,1222.0,2331.0,2356.0,05.12.2023,Cihlová,Velmi dobrý,Klidná část obce,172.0,,G,Patrový,2,1,,889.0,1,Samostatný,16900000,50.066761,14.265108,"Ke Břvům, Praha 5 - Sobín",10,50.0875,14.4213889,11.388131971948777
599,1093526860,844.0,221.0,1067.0,590.0,163.0,564.0,1009.0,1133.0,93.0,895.0,177.0,29.01.2024,Cihlová,Velmi dobrý,Klidná část obce,740.0,Nutno vidět. Prohlídky 7 dní v týdnu.,C,Patrový,5,1,,748.0,1,Samostatný,59900000,50.094528,14.334405,"Osamocená, Praha 6 - Vokovice",10,50.0875,14.4213889,6.254386552144871
600,519386188,267.0,987.0,566.0,449.0,580.0,726.0,1241.0,1889.0,699.0,1605.0,682.0,26.11.2023,Cihlová,Velmi dobrý,Centrum obce,255.0,Cena dle dohody,B,Patrový,2 včetně 1 podzemního,,,406.0,23,Samostatný,19000000,50.108971,14.602486,Praha 10,10,50.0875,14.4213889,13.136173763788221
601,2927555916,854.0,550.0,221.0,166.0,656.0,659.0,1062.0,1081.0,158.0,1027.0,1040.0,04.12.2023,Cihlová,Dobrý,Klidná část obce,270.0,,G,Přízemní,1,1,,580.0,,Samostatný,19990000,50.049236,14.316791,Praha 5 - Stodůlky,10,50.0875,14.4213889,8.592800026780791
602,4151240012,772.0,465.0,1738.0,393.0,574.0,611.0,2085.0,722.0,595.0,3002.0,1823.0,24.11.2023,Cihlová,Velmi dobrý,Klidná část obce,280.0,,C,Patrový,2,,,602.0,,Samostatný,41900000,50.127392,14.386406,"Nad Helmrovkou, Praha 6 - Lysolaje",10,50.0875,14.4213889,5.08922819753769
603,755864908,1033.0,257.0,1437.0,464.0,909.0,257.0,2035.0,1313.0,347.0,2598.0,1974.0,10.01.2024,Cihlová,Velmi dobrý,,220.0,"Cena zahrnuje provizi a veškerý právní, realitní a hypoteční servis.",,Patrový,2,,,444.0,,V bloku,17990000,50.083702,14.557996,"Kamencová, Praha 9 - Hostavice",10,50.0875,14.4213889,9.75570260311496
605,3452953932,1712.0,403.0,1176.0,128.0,454.0,124.0,1343.0,1246.0,407.0,5791.0,1010.0,26.01.2024,Cihlová,Velmi dobrý,Klidná část obce,130.0,"včetně DPH, včetně poplatků, včetně provize, včetně právního servisu",G,Patrový,,1,,400.0,6,Samostatný,15500000,49.996773,14.426631,"Skalnatá, Praha 4 - Modřany",10,50.0875,14.4213889,10.09532519158312
607,2010551628,2536.0,939.0,2287.0,459.0,1044.0,894.0,1148.0,1171.0,110.0,3302.0,2550.0,Dnes,Cihlová,Novostavba,,120.0,včetně právních služeb a odměny RK,B,Patrový,,,,1316.0,,Samostatný,16850000,50.150692,14.431148,"K Drahani, Praha 8",10,50.0875,14.4213889,7.060995902167091
609,1010318172,488.0,717.0,1911.0,278.0,412.0,436.0,3411.0,1604.0,493.0,0.0,0.0,22.11.2023,Cihlová,Ve výstavbě,Klidná část obce,105.0,neplatíte provizi realitní kanceláři,B,Patrový,,,,124.0,,Řadový,10998800,50.017265,14.629045,"Sedmikrásková, Praha 10 - Kolovraty",10,50.0875,14.4213889,16.75715125928787
610,1860601164,1555.0,565.0,0.0,114.0,754.0,624.0,3049.0,1202.0,423.0,0.0,4986.0,04.12.2023,Cihlová,Velmi dobrý,Klidná část obce,210.0,,E,Patrový,3 včetně 1 podzemního,1,1.0,814.0,,Samostatný,23990000,49.979519,14.345489,"Zderazská, Praha 5 - Radotín",10,50.0875,14.4213889,13.17403986459867
611,1666770252,1992.0,450.0,763.0,159.0,347.0,305.0,3106.0,1830.0,185.0,2701.0,1446.0,19.01.2024,Cihlová,Po rekonstrukci,,213.0,,,Patrový,3,,,711.0,,Samostatný,19990000,50.073765,14.554388,"Nepravidelná, Praha 10 - Štěrboholy",10,50.0875,14.4213889,9.612226611509017
612,820462668,1889.0,548.0,0.0,311.0,1027.0,159.0,2127.0,756.0,227.0,0.0,0.0,30.11.2023,Cihlová,Dobrý,Okraj obce,244.0,,G,Patrový,3,52,1.0,836.0,,Samostatný,15990000,50.071362,14.673259,"Lozická, Praha - Újezd nad Lesy",10,50.0875,14.4213889,18.061937712944836
613,1744340300,1142.0,1019.0,0.0,183.0,639.0,791.0,3744.0,1030.0,855.0,0.0,3563.0,26.01.2024,Cihlová,Dobrý,Klidná část obce,162.0,,G,Patrový,2 včetně 1 podzemního,,,504.0,,Samostatný,9895000,49.991493,14.350737,"Safírová, Praha 5 - Radotín",10,50.0875,14.4213889,11.807832935645784
614,1623090252,920.0,1243.0,1722.0,389.0,693.0,295.0,1819.0,1347.0,831.0,1016.0,158.0,05.12.2023,Smíšená,Velmi dobrý,Centrum obce,180.0,,G,Patrový,2,1,,430.0,,Řadový,23900000,50.119652,14.441833,"Na dlážděnce, Praha 8 - Troja",10,50.0875,14.4213889,3.861040670031947
616,1102832972,944.0,711.0,2697.0,121.0,1121.0,1007.0,2227.0,1864.0,599.0,2907.0,612.0,24.11.2023,Cihlová,Dobrý,,363.0,Včetně provize a právního servisu.,,Patrový,4,,,755.0,,Samostatný,57000000,50.032158,14.39466,"Lumiérů, Praha 5 - Hlubočepy",10,50.0875,14.4213889,6.442773806147806
618,3491489100,1267.0,1233.0,3709.0,95.0,1416.0,997.0,2969.0,771.0,1010.0,0.0,2679.0,18.12.2023,Cihlová,Velmi dobrý,,280.0,,C,Patrový,2,1,,669.0,,Samostatný,31000000,49.998131,14.367922,"Sobětická, Praha 5 - Radotín",10,50.0875,14.4213889,10.645637126462745
619,2404115788,1861.0,391.0,2046.0,94.0,590.0,136.0,2904.0,1715.0,301.0,5129.0,3431.0,21.11.2023,Cihlová,Dobrý,,239.0,,G,Patrový,3,1,,817.0,3,Samostatný,15990000,50.059402,14.5847,"Květoslavova, Praha 10 - Dubeč",10,50.0875,14.4213889,12.066285614522009
620,3669754956,523.0,287.0,1139.0,218.0,370.0,237.0,1983.0,345.0,282.0,2305.0,265.0,Dnes,Cihlová,Dobrý,Centrum obce,190.0,+ provize RK,G,Přízemní,3,,,297.0,,Řadový,15990000,50.051422,14.533531,"V Nové Hostivaři, Praha 10 - Hostivař",10,50.0875,14.4213889,8.952847337821856
622,1481057356,1976.0,262.0,1336.0,181.0,448.0,507.0,992.0,749.0,467.0,926.0,299.0,09.12.2023,Smíšená,Velmi dobrý,,177.0,Neplatíte žádnou provizi,E,Patrový,2,,,2173.0,,V bloku,18470000,50.11795,14.47132,"Střížkovská, Praha 8 - Libeň",10,50.0875,14.4213889,4.913880726615137
625,1090909516,1671.0,181.0,5649.0,292.0,529.0,493.0,2028.0,871.0,174.0,0.0,0.0,16.01.2024,Cihlová,Velmi dobrý,Klidná část obce,184.0,,G,Patrový,,1,1.0,502.0,,Rohový,16950000,50.076084,14.64763,"Domanovická, Praha 9 - Újezd nad Lesy",10,50.0875,14.4213889,16.1928189115071
627,1241285964,832.0,728.0,2233.0,85.0,532.0,394.0,2626.0,2347.0,634.0,2980.0,2872.0,29.01.2024,Cihlová,Velmi dobrý,Klidná část obce,449.0,,G,Patrový,4 včetně 1 podzemního,1,1.0,766.0,,Samostatný,40000000,50.080986,14.571961,"Jinolická, Praha 9 - Dolní Počernice",10,50.0875,14.4213889,10.767617207801553
628,3038467148,2454.0,536.0,0.0,320.0,1846.0,482.0,2143.0,1652.0,789.0,0.0,0.0,27.01.2024,Cihlová,Novostavba,Klidná část obce,189.0,"Garantovaná hypotéka 2,99% s fixací na 3 roky při 50% vlastních zdrojů.",B,Patrový,2,2,,896.0,,Samostatný,19999168,50.071838,14.688257,"Machovická, Praha 9 - Újezd nad Lesy",10,50.0875,14.4213889,19.122155346641847
629,1924592972,844.0,221.0,1067.0,590.0,163.0,564.0,1009.0,1133.0,93.0,895.0,177.0,29.01.2024,Cihlová,Velmi dobrý,Klidná část obce,740.0,Nutno vidět. Prohlídky 7 dní v týdnu.,C,Patrový,5,1,,748.0,1,Samostatný,59900000,50.094528,14.334405,"Osamocená, Praha 6 - Vokovice",10,50.0875,14.4213889,6.254386552144871
630,1931736396,2855.0,267.0,1190.0,167.0,315.0,243.0,633.0,215.0,171.0,871.0,2090.0,15.12.2023,Cihlová,Po rekonstrukci,,234.0,,G,Patrový,2,,,330.0,1,Řadový,18950000,50.035675,14.511749,"Vycpálkova, Praha 4 - Chodov",10,50.0875,14.4213889,8.649469561697035
631,1051194700,1226.0,831.0,1746.0,470.0,284.0,165.0,1425.0,1311.0,448.0,694.0,258.0,13.11.2023,Cihlová,Velmi dobrý,Klidná část obce,980.0,,G,Patrový,5,1,1.0,1955.0,,Samostatný,175000000,50.120007,14.437537,"Trojská, Praha 8 - Troja",10,50.0875,14.4213889,3.7936547325442147
632,3324363852,660.0,251.0,956.0,213.0,403.0,212.0,1952.0,453.0,175.0,2284.0,141.0,29.01.2024,Cihlová,Velmi dobrý,Klidná část obce,302.0,"včetně DPH, včetně poplatků, včetně provize, včetně právního servisu, cena k jednání",G,Patrový,2,2,,432.0,6,Rohový,25000000,50.051476,14.532913,"V Nové Hostivaři, Praha 10 - Hostivař",10,50.0875,14.4213889,8.910732809454377
633,3794261068,1194.0,489.0,1006.0,53.0,459.0,459.0,4639.0,2104.0,585.0,1142.0,1250.0,20.11.2023,Cihlová,Dobrý,,165.0,Cena je uvedena včetně provize a právního servisu.,G,Patrový,,,,1651.0,,Rohový,16510000,50.062069,14.281345,"Hrozenkovská, Praha 5 - Zličín",10,50.0875,14.4213889,10.38637768246543
634,297858380,2002.0,1473.0,1532.0,270.0,1026.0,350.0,3263.0,1455.0,432.0,4629.0,5516.0,20.01.2024,Cihlová,Novostavba,Klidná část obce,144.0,včetně provize  RK a právních služeb,C,Patrový,1,1,,434.0,,Řadový,15950000,50.016048,14.587968,"Smržová, Praha 10 - Pitkovice",10,50.0875,14.4213889,14.303029788821561
635,183563596,566.0,258.0,476.0,139.0,429.0,217.0,196.0,322.0,141.0,167.0,284.0,Včera,Smíšená,Dobrý,Klidná část obce,149.0,,,Patrový,3 včetně 1 podzemního,1,,208.0,1,Řadový,15600000,50.067158,14.505365,"Doubravčická, Praha 10 - Strašnice",10,50.0875,14.4213889,6.405190821468257
637,2969068620,956.0,383.0,242.0,130.0,490.0,599.0,2264.0,877.0,242.0,734.0,2678.0,09.11.2023,Cihlová,Novostavba,Klidná část obce,139.0,,,Patrový,2,1,,457.0,,Samostatný,22100000,50.039608,14.316702,"Na Výrovně, Praha - Stodůlky",10,50.0875,14.4213889,9.175980497354876
638,1413829708,1316.0,129.0,1139.0,23.0,284.0,262.0,2187.0,250.0,332.0,3551.0,1519.0,23.01.2024,Cihlová,Před rekonstrukcí,Okraj obce,243.0,,G,Přízemní,1 včetně 1 podzemního,,,373.0,67,Samostatný,10990000,50.058357,14.55733,"U Střediska, Praha 10 - Dolní Měcholupy",10,50.0875,14.4213889,10.22850431543466
640,935105868,2187.0,377.0,591.0,171.0,265.0,212.0,970.0,163.0,259.0,351.0,287.0,28.11.2023,Cihlová,Po rekonstrukci,,121.0,,E,Patrový,,,,172.0,1,Řadový,15490000,50.125401,14.474519,"Na štěpnici, Praha 8 - Libeň",10,50.0875,14.4213889,5.667275495240712
641,4140729676,1185.0,1007.0,1417.0,161.0,808.0,1007.0,2069.0,1157.0,636.0,1526.0,1099.0,13.01.2024,Cihlová,Velmi dobrý,Klidná část obce,154.0,,G,Patrový,4 včetně 1 podzemního,,,324.0,1,Řadový,14990000,50.094028,14.527555,"Pokorného, Praha 9 - Hloubětín",10,50.0875,14.4213889,7.608561296152457
643,4136645708,258.0,140.0,694.0,121.0,364.0,172.0,756.0,1394.0,232.0,134.0,1442.0,23.01.2024,Cihlová,Před rekonstrukcí,Klidná část obce,264.0,"prodej 1/2 domu, včetně provize, včetně právního servisu",G,Patrový,5 včetně 1 podzemního,,,306.0,4,V bloku,18000000,50.042431,14.458756,"Budějovická, Praha 4 - Krč",10,50.0875,14.4213889,5.677013761970728
644,1717564748,1090.0,182.0,813.0,157.0,262.0,189.0,505.0,841.0,225.0,545.0,519.0,23.01.2024,Cihlová,Dobrý,,240.0,včetně provize RK a právního servisu!,G,Patrový,3,,,404.0,,Rohový,17900000,50.071304,14.498619,"Foerstrova, Praha 10 - Strašnice",10,50.0875,14.4213889,5.797677081421999
646,746190156,1269.0,183.0,379.0,115.0,121.0,121.0,1457.0,400.0,235.0,637.0,2123.0,17.01.2024,Smíšená,Velmi dobrý,,205.0,,B,Patrový,,1,,589.0,,,32500000,50.038948,14.333481,"Rotavská, Praha 5 - Stodůlky",10,50.0875,14.4213889,8.277743108586927
647,2094724428,3874.0,446.0,501.0,170.0,148.0,88.0,533.0,393.0,446.0,999.0,3456.0,20.11.2023,Cihlová,Dobrý,,221.0,,G,Patrový,3,1,,234.0,13,Řadový,16900000,50.021862,14.521584,"Krajanská, Praha 4 - Újezd u Průhonic",10,50.0875,14.4213889,10.219538034804561
648,1778054476,1409.0,1420.0,2427.0,36.0,628.0,509.0,4198.0,872.0,207.0,0.0,0.0,30.10.2023,Cihlová,Velmi dobrý,,220.0,,C,Patrový,2,1,,391.0,,Řadový,19000000,50.014835,14.605196,"U Císařské cesty, Praha 10 - Benice",10,50.0875,14.4213889,15.411490793449653
650,1046713676,2021.0,120.0,0.0,62.0,1568.0,110.0,2163.0,1243.0,302.0,0.0,0.0,03.01.2024,Cihlová,Velmi dobrý,,266.0,,D,Patrový,1 podzemní,1,,609.0,,,18500000,50.073242,14.681712,"Novosibřinská, Praha 9 - Újezd nad Lesy",10,50.0875,14.4213889,18.642923401645774
654,333743436,2345.0,469.0,1331.0,584.0,928.0,216.0,672.0,1239.0,633.0,2926.0,2454.0,30.01.2024,Cihlová,Dobrý,,324.0,,C,Patrový,2,1,,326.0,,V bloku,16999000,50.142727,14.422794,"Zlončická, Praha 8 - Čimice",10,50.0875,14.4213889,6.1417794355997355
655,1614386508,798.0,522.0,910.0,416.0,153.0,153.0,1422.0,766.0,448.0,550.0,1365.0,29.01.2024,Cihlová,Velmi dobrý,,225.0,včetně provize a právního servisu,B,Patrový,3 včetně 1 podzemního,1,,340.0,1,Samostatný,25000000,50.055546,14.351723,"Vidoulská, Praha 5 - Jinonice",10,50.0875,14.4213889,6.111043707673067
657,3785463116,335.0,345.0,1591.0,209.0,1062.0,693.0,1498.0,271.0,153.0,0.0,1031.0,29.01.2024,Cihlová,Velmi dobrý,Klidná část obce,90.0,"včetně DPH, včetně provize, včetně právního servisu, cena k jednání",G,Patrový,,,,753.0,1,Samostatný,15990000,49.993027,14.407919,"K Lahovičkám, Praha - Modřany",10,50.0875,14.4213889,10.54886993273465
659,2947974476,952.0,224.0,2044.0,144.0,634.0,169.0,2557.0,498.0,340.0,3794.0,2638.0,29.01.2024,Cihlová,Velmi dobrý,Klidná část obce,174.0,,G,Patrový,2,1,,744.0,1,Samostatný,21750000,50.134102,14.381558,"Májová, Praha 6 - Suchdol",10,50.0875,14.4213889,5.909285534689046
660,1301452108,1452.0,533.0,663.0,196.0,231.0,172.0,868.0,903.0,473.0,547.0,806.0,27.01.2024,Cihlová,Dobrý,Klidná část obce,350.0,,G,Patrový,5 včetně 1 podzemního,1,,317.0,1,Řadový,24900000,50.122082,14.484162,"Litoměřická, Praha 9 - Střížkov",10,50.0875,14.4213889,5.901636842469759
661,3880162636,2044.0,684.0,1530.0,156.0,576.0,391.0,820.0,288.0,466.0,814.0,73.0,18.12.2023,Cihlová,Před rekonstrukcí,Klidná část obce,101.0,,G,Patrový,4 včetně 1 podzemního,1,1.0,792.0,1,V bloku,22000000,50.119701,14.464637,"Rozšířená, Praha 8 - Libeň",10,50.0875,14.4213889,4.725952068501235
662,4188505420,1189.0,879.0,741.0,111.0,430.0,857.0,1151.0,2354.0,785.0,1931.0,607.0,20.11.2023,Cihlová,Po rekonstrukci,Klidná část obce,151.0,,,Patrový,,1,,300.0,,,14990000,50.056671,14.480691,"Na vinobraní, Praha 10 - Záběhlice",10,50.0875,14.4213889,5.446398024541662
663,424707404,3462.0,797.0,2560.0,369.0,2157.0,202.0,4309.0,2736.0,360.0,4535.0,3813.0,15.01.2024,Cihlová,Velmi dobrý,,676.0,,,Patrový,2,1,1.0,2737.0,1,Samostatný,43000000,50.16473,14.483865,Praha 8 - Březiněves,10,50.0875,14.4213889,9.673797622654288
665,692458572,1624.0,471.0,0.0,207.0,611.0,559.0,1267.0,1441.0,186.0,0.0,0.0,20.11.2023,Cihlová,Velmi dobrý,Centrum obce,416.0,,G,Patrový,3,,,1765.0,,Samostatný,29950000,50.100636,14.672141,"Podlibská, Praha 9 - Klánovice",10,50.0875,14.4213889,17.946874897083948
666,848528716,452.0,341.0,1774.0,97.0,351.0,372.0,2165.0,1536.0,377.0,2016.0,2526.0,30.01.2024,Smíšená,Projekt,,160.0,,B,Přízemní,1,,,321.0,,Řadový,21320000,50.126812,14.567413,"Trabantská, Praha 9 - Satalice",10,50.0875,14.4213889,11.293997214248245
667,2727576908,452.0,341.0,1774.0,97.0,351.0,372.0,2165.0,1536.0,377.0,2016.0,2526.0,Dnes,Smíšená,Projekt,,143.0,,B,Přízemní,1,,,288.0,,Řadový,18232000,50.126812,14.567413,Praha 9 - Satalice,10,50.0875,14.4213889,11.293997214248245
668,1385399628,452.0,341.0,1774.0,97.0,351.0,372.0,2165.0,1536.0,377.0,2016.0,2526.0,Dnes,Smíšená,Projekt,,127.0,,B,Přízemní,1,,,168.0,,Řadový,15476000,50.126812,14.567413,Praha 9 - Satalice,10,50.0875,14.4213889,11.293997214248245
669,3985868108,452.0,341.0,1774.0,97.0,351.0,372.0,2165.0,1536.0,377.0,2016.0,2526.0,Dnes,Smíšená,Projekt,,127.0,,B,Přízemní,1,,,214.0,,Řadový,15768000,50.126823,14.567249,Praha 9 - Satalice,10,50.0875,14.4213889,11.28368679899833
671,4006691916,1340.0,836.0,1457.0,218.0,770.0,372.0,1552.0,968.0,845.0,0.0,1315.0,21.01.2024,Cihlová,Velmi dobrý,,127.0,,B,Patrový,2,,,320.0,,Řadový,17300000,49.993061,14.422883,"Do koutů, Praha 4 - Modřany",10,50.0875,14.4213889,10.50167975059068
673,1681210972,0.0,275.0,2234.0,17.0,1521.0,517.0,1817.0,1278.0,289.0,3194.0,4459.0,08.01.2024,Cihlová,Novostavba,Klidná část obce,173.0,"včetně DPH, včetně provize",B,Patrový,2,1,,323.0,,Rohový,21000000,49.999298,14.516423,"K Šeberovu, Praha 4 - Šeberov",10,50.0875,14.4213889,11.926630343779086
674,2179908684,0.0,275.0,2234.0,17.0,1521.0,517.0,1817.0,1278.0,289.0,3194.0,4459.0,08.01.2024,Cihlová,Velmi dobrý,Klidná část obce,154.0,,B,Patrový,2,1,,300.0,,Řadový,15450000,49.999298,14.516423,"K Šeberovu, Praha 4 - Šeberov",10,50.0875,14.4213889,11.926630343779086
675,2914567244,0.0,275.0,2234.0,17.0,1521.0,517.0,1817.0,1278.0,289.0,3194.0,4459.0,08.01.2024,Cihlová,Novostavba,Klidná část obce,173.0,,B,Patrový,,1,,300.0,,Řadový,18600000,49.999298,14.516423,"K Šeberovu, Praha 4 - Šeberov",10,50.0875,14.4213889,11.926630343779086
676,1565427020,1626.0,1576.0,2069.0,188.0,220.0,113.0,4266.0,1237.0,113.0,0.0,0.0,21.01.2024,Cihlová,Dobrý,Klidná část obce,320.0,,G,Patrový,2,,1.0,369.0,,Samostatný,10990000,50.012424,14.601308,"K Pitkovicům, Praha 10 - Benice",10,50.0875,14.4213889,15.320491637200625
679,1168479564,2070.0,301.0,1499.0,109.0,1439.0,112.0,5080.0,112.0,1129.0,4204.0,5552.0,26.10.2023,Cihlová,Velmi dobrý,Klidná část obce,136.0,Cena vč. provize RK,G,Patrový,2,,,321.0,5,,14900000,50.158886,14.543934,"Na Kačence, Praha 9 - Miškovice",10,50.0875,14.4213889,11.803935274477546
680,1514591564,0.0,177.0,1951.0,206.0,1471.0,246.0,2067.0,1528.0,146.0,3436.0,4409.0,31.01.2024,Smíšená,Velmi dobrý,Klidná část obce,138.0,,F,Patrový,2,1,1.0,818.0,,Samostatný,19500000,49.996891,14.514672,"K Safině, Praha 4 - Šeberov",10,50.0875,14.4213889,12.078361389683366
681,3211097164,1883.0,338.0,2975.0,167.0,623.0,484.0,3483.0,847.0,238.0,4117.0,3213.0,25.11.2023,Smíšená,Dobrý,,169.0,,G,Patrový,,,,411.0,1,Řadový,10490000,50.134766,14.368197,"Kosova, Praha 6 - Suchdol",10,50.0875,14.4213889,6.481531723630311
682,1078691148,1176.0,548.0,1959.0,333.0,473.0,596.0,937.0,717.0,614.0,2558.0,0.0,04.01.2024,Cihlová,Dobrý,Klidná část obce,250.0,,D,Přízemní,2 včetně 1 podzemního,,,430.0,1,Samostatný,14550000,50.106133,14.6129,"Zájezdní, Praha 9 - Horní Počernice",10,50.0875,14.4213889,13.81684181293242
683,291870028,1710.0,1035.0,1967.0,126.0,167.0,1246.0,1650.0,2100.0,684.0,1591.0,1591.0,Dnes,Cihlová,Velmi dobrý,Klidná část obce,196.0,vč. provize a právního servisu,B,Patrový,2,2,1.0,587.0,,Samostatný,34900000,50.110363,14.345121,"Na Malé Šárce, Praha 6 - Nebušice",10,50.0875,14.4213889,6.004718402611733
684,3205076300,1977.0,492.0,1227.0,270.0,531.0,426.0,4566.0,591.0,595.0,4331.0,5373.0,28.01.2024,Cihlová,Velmi dobrý,Klidná část obce,478.0,,B,Patrový,2,,,602.0,,Samostatný,17990000,50.148052,14.574371,"Chvojenecká, Praha - Vinoř",10,50.0875,14.4213889,12.818295764245248
685,704099660,2027.0,871.0,2015.0,62.0,898.0,704.0,2097.0,1465.0,1230.0,1066.0,1711.0,12.01.2024,Cihlová,Projekt,,107.0,,B,Patrový,2,,,191.0,,,13590000,50.127144,14.529361,"Hůlkova, Praha 9 - Kbely",10,50.0875,14.4213889,8.872589544521206
686,2218081884,0.0,275.0,2234.0,17.0,1521.0,517.0,1817.0,1278.0,289.0,3194.0,4459.0,08.01.2024,Cihlová,Novostavba,Klidná část obce,153.0,"včetně DPH, včetně provize",B,Patrový,2,1,,170.0,,Řadový,16750000,49.999298,14.516423,"K Šeberovu, Praha 4 - Šeberov",10,50.0875,14.4213889,11.926630343779086
687,2216928588,1185.0,405.0,1358.0,219.0,339.0,673.0,1573.0,1262.0,328.0,447.0,145.0,30.01.2024,Cihlová,Velmi dobrý,Klidná část obce,140.0,,G,Patrový,3 včetně 1 podzemního,,,200.0,1,Řadový,17480000,50.069698,14.487726,"Gutova, Praha 10 - Strašnice",10,50.0875,14.4213889,5.13088834628759
688,1894946124,1043.0,389.0,2612.0,226.0,319.0,370.0,3496.0,597.0,456.0,2133.0,3076.0,14.11.2023,Cihlová,Po rekonstrukci,,134.0,,G,Patrový,3 včetně 1 podzemního,1,,564.0,8,Řadový,15990000,50.136406,14.542225,"Mohelnická, Praha 9 - Kbely",10,50.0875,14.4213889,10.189143688802181
689,2477303116,1698.0,1610.0,1951.0,414.0,187.0,86.0,4433.0,1496.0,151.0,0.0,0.0,Včera,Cihlová,Velmi dobrý,Centrum obce,159.0,Včetně provize a veškerého právního servisu.,G,Patrový,2,1,,411.0,,Řadový,16690000,50.009933,14.602732,"Žitavská, Praha 10 - Benice",10,50.0875,14.4213889,15.557959143222522
690,3476854092,1954.0,1307.0,2044.0,1211.0,1232.0,1389.0,3762.0,1841.0,1139.0,4191.0,3201.0,Včera,Cihlová,Dobrý,Klidná část obce,99.0,,G,Patrový,,,,1411.0,,Samostatný,8975000,50.068363,14.577775,"Slatiny, Praha 10 - Dubeč",10,50.0875,14.4213889,11.360591433102522
694,2414298188,2045.0,373.0,1107.0,127.0,340.0,239.0,4403.0,445.0,411.0,4248.0,4954.0,10.01.2024,Cihlová,Po rekonstrukci,Klidná část obce,91.0,,D,Patrový,3 včetně 1 podzemního,,,260.0,12,Řadový,10490000,50.147354,14.576837,"Křemílkova, Praha - Vinoř",10,50.0875,14.4213889,12.928182256947254
696,1336824908,2969.0,2087.0,4225.0,351.0,1136.0,1690.0,0.0,2673.0,492.0,0.0,0.0,02.01.2024,Cihlová,Velmi dobrý,Klidná část obce,158.0,,G,Patrový,2,1,,326.0,,Řadový,13499000,50.046532,14.62795,"U Markéty, Praha 10 - Hájek u Uhříněvsi",10,50.0875,14.4213889,15.431036618276522
697,3531371596,230.0,136.0,1863.0,165.0,1340.0,473.0,1781.0,169.0,129.0,0.0,1320.0,02.01.2024,Cihlová,Před rekonstrukcí,Klidná část obce,129.0,,G,Patrový,3 včetně 1 podzemního,1,,271.0,,Rohový,10778300,49.990444,14.407502,"Okružní, Praha 4 - Komořany",10,50.0875,14.4213889,10.83760837166724
698,3298927948,1596.0,823.0,2058.0,177.0,508.0,209.0,1035.0,792.0,821.0,2244.0,775.0,24.01.2024,Cihlová,Velmi dobrý,Centrum obce,504.0,,C,Patrový,2 včetně 1 podzemního,,,847.0,,Řadový,54900000,50.076801,14.373617,"Jezerní, Praha 5 - Smíchov",10,50.0875,14.4213889,3.610289123928015
702,3297293644,1499.0,380.0,1299.0,181.0,186.0,144.0,1383.0,896.0,741.0,1213.0,787.0,Dnes,Skeletová,Velmi dobrý,Samota,43.0,,G,Přízemní,1,,,50.0,,Samostatný,7000000,50.106609,14.376386,"Za Hanspaulkou, Praha 6 - Dejvice",10,50.0875,14.4213889,3.8496020538985776
703,3200169292,814.0,196.0,340.0,174.0,340.0,19.0,901.0,1395.0,309.0,363.0,192.0,31.01.2024,Cihlová,Velmi dobrý,,200.0,"včetně provize, včetně právního servisu",G,Patrový,3,1,,741.0,,Samostatný,20000000,50.104847,14.542465,"Štolmířská, Praha 9 - Hloubětín",10,50.0875,14.4213889,8.849335913086568
705,1692681292,2039.0,1314.0,2277.0,404.0,303.0,1227.0,1987.0,2208.0,863.0,1924.0,1934.0,12.12.2023,Cihlová,Novostavba,,300.0,,G,Patrový,,1,,828.0,1,Samostatný,32000000,50.113361,14.338769,"K vinicím, Praha 6 - Nebušice",10,50.0875,14.4213889,6.55707891930182
