,hash_id,Vlak,Vecerka,Obchod,Bus,Skola,Skolka,Lekar,Hospoda,Restaurace,Metro,Tram,date_update,building_type,building_condition,building_location,area_net,price_note,energy_efficient_rating,building_floor_type,building_floor,garage,swimming_pool,area_landplot,cellar,house_location,price,lat,lon,locality,region,lat_cen,lon_cen,city_dist
4292,823108940,462.0,256.0,3186.0,102.0,19.0,67.0,0.0,3634.0,407.0,0.0,0.0,19.11.2023,Dřevěná,Novostavba,Centrum obce,110.0,,A,Patrový,2,,,790.0,,Samostatný,12500000,49.928753,14.303861,"Všenory, okres Praha-západ",11,50.0875,14.4213889,19.54811223483452
4293,2652206156,1212.0,410.0,0.0,139.0,2128.0,330.0,0.0,2124.0,420.0,0.0,0.0,29.12.2023,Smíšená,Velmi dobrý,,102.0,,G,Patrový,2,,,1009.0,1,Samostatný,6900000,50.141266,13.875469,"Nádražní, Ruda",11,50.0875,14.4213889,39.382894133291025
4294,4249855308,0.0,2454.0,0.0,52.0,3995.0,2499.0,0.0,2272.0,3505.0,0.0,0.0,23.12.2023,Dřevěná,Novostavba,Centrum obce,78.0,,A,Přízemní,1,,,752.0,,Samostatný,8150000,50.027405,14.839966,"Přehvozdí, okres Kolín",11,50.0875,14.4213889,30.619905777126387
4295,3424401228,2174.0,73.0,0.0,132.0,3016.0,2429.0,0.0,3275.0,59.0,0.0,0.0,17.01.2024,Dřevěná,Novostavba,Okraj obce,110.0,,A,Patrový,2,,,700.0,,Samostatný,8350000,49.853245,14.776858,"Vranov, okres Benešov",11,50.0875,14.4213889,36.39786778607708
4299,711414860,2617.0,1320.0,0.0,688.0,1288.0,1373.0,0.0,2425.0,1140.0,0.0,0.0,12.09.2023,Cihlová,Velmi dobrý,Polosamota,145.0,"včetně poplatků, včetně provize, včetně právního servisu",G,Přízemní,,,,33297.0,,Samostatný,18990000,49.90913,14.843284,"Černokostelecká, Stříbrná Skalice",11,50.0875,14.4213889,36.09366547649439
4300,75015500,360.0,161.0,1183.0,142.0,643.0,241.0,689.0,672.0,182.0,0.0,0.0,21.01.2024,Cihlová,Velmi dobrý,Klidná část obce,174.0,Včetně provize RK a právních služeb,,Patrový,2 včetně 1 podzemního,,,1455.0,54,Samostatný,14990000,50.149651,14.090674,"Ant. Suchého, Kladno",11,50.0875,14.4213889,24.571270915628006
4304,1025226060,1716.0,1354.0,1277.0,149.0,2112.0,283.0,0.0,2234.0,149.0,0.0,0.0,28.01.2024,Cihlová,Před rekonstrukcí,,120.0,,,Přízemní,,39,,802.0,40,,7450000,50.164974,14.676344,"Zápy, okres Praha-východ",11,50.0875,14.4213889,20.1132201700633
4305,4146141004,4258.0,358.0,4318.0,239.0,1777.0,1223.0,0.0,1038.0,52.0,0.0,0.0,25.01.2024,Smíšená,Po rekonstrukci,,240.0,,G,Patrový,2,,,1143.0,,V bloku,5999000,50.189651,14.074357,"Třebichovice, okres Kladno",11,50.0875,14.4213889,27.21600900612592
4306,2468918604,2869.0,488.0,0.0,517.0,277.0,199.0,4191.0,1560.0,548.0,0.0,0.0,25.10.2023,Cihlová,Velmi dobrý,Klidná část obce,225.0,"Cena je konečná včetně provize RK, právního servisu a poplatků na KÚ., včetně provize, včetně právního servisu",G,Patrový,2,1,1.0,805.0,,Samostatný,19999000,50.177944,14.426823,"U Louže, Klecany",11,50.0875,14.4213889,10.06436985327763
4307,2363139404,1592.0,1760.0,3074.0,405.0,1865.0,1865.0,2532.0,1782.0,1920.0,0.0,0.0,03.01.2024,Cihlová,Velmi dobrý,Klidná část obce,321.0,,C,Patrový,2,,,1375.0,,Samostatný,12995000,49.924259,14.037619,"Králův Dvůr - Křižatky, okres Beroun",11,50.0875,14.4213889,32.88902038175225
4308,3587876172,0.0,3078.0,0.0,39.0,3006.0,2928.0,0.0,25.0,3114.0,0.0,0.0,03.11.2023,Cihlová,Novostavba,,75.0,"včetně DPH, včetně poplatků, včetně provize, včetně právního servisu",C,Přízemní,,,,930.0,,Samostatný,6990000,49.658947,14.97653,"Miřetice, okres Benešov",11,50.0875,14.4213889,62.07615557695131
4309,117089612,2856.0,1067.0,0.0,631.0,816.0,796.0,0.0,2572.0,623.0,0.0,0.0,31.08.2023,Cihlová,Novostavba,Klidná část obce,136.0,"včetně DPH, včetně provize RK",B,Patrový,2,,,629.0,,Řadový,11900000,49.911354,14.59586,"Smrková, Kamenice - Struhařov",11,50.0875,14.4213889,23.21945985198821
4310,3085046860,3696.0,2429.0,0.0,165.0,2301.0,2419.0,0.0,3709.0,2336.0,0.0,0.0,28.08.2023,Cihlová,Dobrý,Centrum obce,148.0,"včetně provize, včetně právního servisu",D,Patrový,,,1.0,1860.0,,Rohový,9950000,49.893475,14.615863,"Kamenice - Ládví, okres Praha-východ",11,50.0875,14.4213889,25.6660876941693
4312,2334663756,287.0,97.0,2771.0,153.0,1056.0,1022.0,5067.0,1675.0,362.0,2783.0,4544.0,03.01.2024,Cihlová,Velmi dobrý,Klidná část obce,162.0,Cena včetně provize RK a kompletního právního servisu,C,Patrový,2,1,,318.0,,Řadový,14990000,50.024174,14.286747,"Zbuzany, okres Praha-západ",11,50.0875,14.4213889,11.915518830974184
4313,3521881420,490.0,393.0,0.0,440.0,504.0,182.0,0.0,212.0,438.0,0.0,0.0,24.01.2024,Cihlová,Velmi dobrý,Centrum obce,181.0,,G,Patrový,2,,,289.0,,Samostatný,6300000,50.341175,14.80374,"9. května, Chotětov",11,50.0875,14.4213889,39.18975157318449
4314,2298262860,3079.0,2611.0,0.0,91.0,2737.0,198.0,0.0,3069.0,2572.0,0.0,0.0,Dnes,Cihlová,Dobrý,Klidná část obce,341.0,+ provize RK,D,Patrový,3 včetně 1 podzemního,1,,1024.0,20,Samostatný,6990000,50.02496,14.956906,"Třebovle, okres Kolín",11,50.0875,14.4213889,38.85838058801178
4315,2021963084,2713.0,372.0,0.0,280.0,3126.0,449.0,0.0,358.0,2731.0,0.0,0.0,01.01.2024,Cihlová,Dobrý,,166.0,,B,Patrový,2,1,1.0,1200.0,,Samostatný,17880000,50.243073,14.451189,"Zahradní, Veliká Ves",11,50.0875,14.4213889,17.428666951492378
